Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,tpadding,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,172.115.107.195,63.73.132.105,172.115.107.195,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,123732,1,56972,443,56972,443,0x414053,tcp,allow,15040,4292,10748,33,8/19/2019 13:02,0,business-and-economy,0,6074250147,0x0,United States,United States,0,16,17,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,209.45.66.146,63.73.132.18,209.45.66.146,10.255.0.56,Rule 82,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,100634,1,8838,443,8838,443,0x40401b,tcp,allow,5908,678,5230,14,8/19/2019 13:02,2,business-and-economy,0,6074250155,0x0,Peru,United States,0,7,7,tcp-rst-from-server,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,201.174.69.106,63.73.132.105,201.174.69.106,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,72793,1,46256,443,46256,443,0x414053,tcp,allow,12221,2664,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250181,0x0,Mexico,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,201.174.69.106,63.73.132.104,201.174.69.106,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,176280,1,34074,443,34074,443,0x414053,tcp,allow,16198,4771,11427,35,8/19/2019 13:02,0,business-and-economy,0,6074250197,0x0,Mexico,United States,0,17,18,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,190.92.34.166,63.73.132.104,190.92.34.166,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,9391,1,64741,443,64741,443,0x414053,tcp,allow,12203,2646,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250208,0x0,Honduras,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,4.14.253.186,63.73.132.110,,,llsexchange_Inbound_Users,,,ssl,vsys1,outside,public_dmz,ethernet1/1,ethernet1/3.10,To-Panorama,8/19/2019 13:02,92141,1,58672,443,0,0,0x0,tcp,allow,13312,1558,11754,39,8/19/2019 12:57,198,business-and-economy,0,6074250215,0x0,United States,United States,0,12,27,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,187.175.37.24,63.73.132.104,187.175.37.24,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,141645,1,61076,443,61076,443,0x414053,tcp,allow,12223,2666,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250248,0x0,Mexico,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,184.64.115.193,63.73.132.105,184.64.115.193,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,162747,1,64141,443,64141,443,0x414053,tcp,allow,12207,2650,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250224,0x0,Canada,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,69.244.157.146,63.73.132.126,69.244.157.146,10.255.0.59,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,37800,1,55179,443,55179,443,0x40401c,tcp,allow,5447,1154,4293,17,8/19/2019 13:02,0,business-and-economy,0,6074250228,0x0,United States,United States,0,8,9,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,177.237.169.78,63.73.132.105,177.237.169.78,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,21184,1,39488,443,39488,443,0x414053,tcp,allow,12207,2650,9557,49,8/19/2019 12:57,301,business-and-economy,0,6074250230,0x0,Mexico,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,177.245.75.104,63.73.132.104,177.245.75.104,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,53215,1,63050,443,63050,443,0x414053,tcp,allow,14984,4236,10748,32,8/19/2019 13:02,1,business-and-economy,0,6074250246,0x0,Mexico,United States,0,15,17,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,201.160.204.56,63.73.132.39,201.160.204.56,10.32.130.142,Rule 76,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,58058,1,53388,7002,53388,7002,0x50401c,tcp,allow,7863,1173,6690,21,8/19/2019 13:01,37,business-and-economy,0,6074250158,0x0,Mexico,United States,0,11,10,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,24.10.109.73,63.73.132.126,24.10.109.73,10.255.0.59,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,184076,1,59083,443,59083,443,0x40401c,tcp,allow,5447,1154,4293,17,8/19/2019 13:02,0,business-and-economy,0,6074250166,0x0,United States,United States,0,8,9,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
